"ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3","FoodName_3","Description1","Desc1.ref","Description2","scientific_name","Desc1.ref2"
"CE","Cereals",2511,"wheat and products","111","wheat","111.01","A001N#F10.A06HR","wheat grain, unrefined","","","",NA,NA
"CE","Cereals",2511,"wheat and products","111","wheat","111.02","A001N#F10.A07XK","wheat grain, refined","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23110","wheat and meslin flour ","23110.01","A004B#F02.A067Z$F27.A001M$F28.A0C0A$F10.A06HR$F03.A06JD","wheat flour, unrefined","Flour of Wheat: Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles.","FAOSTAT Commodity List (FCL)","",NA,NA
"CE","Cereals",2511,"wheat and products","23110","wheat and meslin flour ","23110.02","A003Y#F02.A067Z$F27.A001M$F28.A0C0A$F10.A07XK$F03.A06JD","wheat flour, refined","Flour of Wheat: Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles.","FAOSTAT Commodity List (FCL)","",NA,NA
"CE","Cereals",2511,"wheat and products","23180","mixes and doughs for the preparation of bakers' wares","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23710","uncooked pasta, not stuffed or otherwise prepared","23710.01","A007L#F28.A07HS","pasta, dried, raw","default pasta (spaghetti)","","",NA,NA
"CE","Cereals",2511,"wheat and products","23140.01","germ of wheat [only calories)","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23140.02","bulgur","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23140.03","breakfast cereals","23140.03.01","A00EM#F02.A068E$F27.A000L$F28.A07LG","breakfast cereal, flakes","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23140.03","breakfast cereals","23140.03.02","A00EL#F02.A06DZ$F04.A000L","breakfast cereals, muesli mix","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23220.01","starch of wheat ","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23220.02","wheat gluten [only calories]","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23490.01","communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","23999.02","food preparations of flour, meal or malt extract","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","39120.01","bran of wheat [only calories]","","","","","","",NA,NA
"CE","Cereals",2511,"wheat and products","F0020","bread","F0020.01","A004Y#F02.A06CN$F04.A001M$F10.A07XK","bread, wheat flour, refined","","","",NA,NA
"CE","Cereals",2511,"wheat and products","F0020","bread","F0020.02","A005E#F02.A06CN$F04.A001M$F10.A06HR","bread, wheat flour, unrefined","","","",NA,NA
"CE","Cereals",2511,"wheat and products","F0022","pastry","F0022.01","A00BL#F02.A06DQ$F28.A07GX$F12.A008L","buns","","","",NA,NA
"CE","Cereals",2511,"wheat and products","F0022","pastry","F0022.02","A00CM#F02.A06DT$F28.A0BA1","scones","","","",NA,NA
